,embedding size,p,q,accuracy (mean),accuracy (std),f1_micro (mean),f1_micro (std),f1_macro (mean),f1_macro (std)
0,128.0,0.1,0.1,0.35254691689008044,0.008042895442359255,0.35254691689008044,0.008042895442359282,0.3080818680274356,0.005474199926330858
1,128.0,0.3,0.1,0.3398123324396783,0.0073726541554959835,0.3398123324396783,0.0073726541554959835,0.27840296105684603,0.009794899012435715
2,128.0,0.6,0.1,0.3605898123324397,0.009383378016085797,0.3605898123324397,0.009383378016085797,0.3050962244542308,0.007582108183714131
3,128.0,1.0,0.1,0.3297587131367292,0.024128686327077764,0.3297587131367292,0.024128686327077792,0.2694823249547291,0.02762497946661152
4,128.0,5.0,0.1,0.35656836461126007,0.006702412868632712,0.35656836461126007,0.00670241286863274,0.31081175015788687,0.005547678661956296
5,128.0,10.0,0.1,0.3599195710455764,0.010053619302949068,0.3599195710455764,0.010053619302949068,0.30154762229355,0.015922249841300473
6,128.0,0.1,0.3,0.3257372654155496,0.009383378016085797,0.3257372654155496,0.009383378016085797,0.27711121896368796,0.0003671499919470078
7,128.0,0.3,0.3,0.35924932975871315,0.01072386058981234,0.35924932975871315,0.01072386058981234,0.3094309034612378,0.011417521679266074
8,128.0,0.6,0.3,0.3485254691689008,0.0013404825737265424,0.3485254691689008,0.0013404825737265424,0.2998950957065583,0.013584653231239807
9,128.0,1.0,0.3,0.3739946380697051,0.01474530831099194,0.3739946380697051,0.01474530831099194,0.3240156930950794,0.005741945484947303
10,128.0,5.0,0.3,0.3532171581769437,0.0020107238605898137,0.3532171581769437,0.0020107238605898137,0.30561790049057447,0.006460634262557857
11,128.0,10.0,0.3,0.3398123324396783,0.0020107238605898137,0.3398123324396783,0.0020107238605898137,0.28423474801169996,0.0009655817684766643
12,128.0,0.1,0.6,0.3304289544235925,0.004691689008042899,0.3304289544235925,0.004691689008042899,0.2552663475689104,0.004211032875821724
13,128.0,0.3,0.6,0.35187667560321717,0.0073726541554959835,0.35187667560321717,0.0073726541554959835,0.28928843672821714,0.002521209639254507
14,128.0,0.6,0.6,0.3579088471849866,0.006702412868632712,0.3579088471849866,0.006702412868632712,0.29959502545295047,0.002205625314817633
15,128.0,1.0,0.6,0.353887399463807,0.02144772117962465,0.353887399463807,0.02144772117962468,0.2976054439249326,0.020855724814924176
16,128.0,5.0,0.6,0.34785522788203754,0.008713136729222526,0.3478552278820376,0.008713136729222554,0.2845155756405251,0.005560393348593595
17,128.0,10.0,0.6,0.3739946380697051,0.008042895442359227,0.3739946380697051,0.008042895442359227,0.30684470397359276,0.008404936409101449
18,128.0,0.1,1.0,0.2935656836461126,0.008042895442359227,0.2935656836461126,0.008042895442359227,0.22962821622417548,0.0009757040513175275
19,128.0,0.3,1.0,0.3371313672922252,0.018096514745308323,0.3371313672922252,0.018096514745308323,0.2709242898375649,0.018329926913584732
20,128.0,0.6,1.0,0.3284182305630027,0.009383378016085797,0.3284182305630027,0.009383378016085797,0.27849990677892433,0.008327489870618737
21,128.0,1.0,1.0,0.36193029490616624,0.006702412868632712,0.36193029490616624,0.00670241286863274,0.31656364945858895,0.0034165567162731947
22,128.0,5.0,1.0,0.3418230563002681,0.013404825737265424,0.3418230563002681,0.013404825737265424,0.28248603640051173,0.017533926349737772
23,128.0,10.0,1.0,0.3626005361930295,0.010053619302949068,0.36260053619302945,0.01005361930294904,0.3083070829621085,0.002235267447987216
24,128.0,0.1,5.0,0.2949061662198391,0.0040214477211796,0.2949061662198391,0.0040214477211796,0.22706228348203777,0.002175482755367761
25,128.0,0.3,5.0,0.2915549597855228,0.018096514745308295,0.2915549597855228,0.018096514745308295,0.2424186822645556,0.017041827206613125
26,128.0,0.6,5.0,0.3324396782841823,0.00536193029490617,0.3324396782841823,0.00536193029490617,0.2677961364950968,0.009634668698872612
27,128.0,1.0,5.0,0.36528150134048254,0.014075067024128668,0.36528150134048254,0.01407506702412864,0.31379849574120305,0.011953628963336294
28,128.0,5.0,5.0,0.34115281501340483,0.006032171581769441,0.34115281501340483,0.006032171581769441,0.28864215423877604,0.00715100337526417
29,128.0,10.0,5.0,0.34986595174262736,0.002680965147453085,0.34986595174262736,0.002680965147453085,0.29397919491367785,0.0016585830587265982
30,128.0,0.1,10.0,0.19436997319034854,0.053619302949061656,0.19436997319034854,0.053619302949061656,0.1524172126166577,0.03108283431282373
31,128.0,0.3,10.0,0.27412868632707776,0.0006702412868632712,0.27412868632707776,0.0006702412868632712,0.205477464910262,0.002598072663135359
32,128.0,0.6,10.0,0.2707774798927614,0.012064343163538882,0.2707774798927614,0.012064343163538882,0.21594654855550294,0.007711543611209112
33,128.0,1.0,10.0,0.3183646112600536,0.008713136729222526,0.3183646112600536,0.008713136729222526,0.26149937523390104,0.0025441355323614356
34,128.0,5.0,10.0,0.33378016085790885,0.008042895442359255,0.33378016085790885,0.008042895442359255,0.2828495080320583,0.012199362297024563
35,128.0,10.0,10.0,0.3351206434316354,0.004021447721179627,0.3351206434316354,0.004021447721179627,0.29335705233442655,0.0033046534359240654
